Number;Words;Syllables;Sentences;Letters;AvgWord;AvgSent;FleschUA;Flasch-Kincaid
1;495;1308;28;3017;2,6424242424242426;17,678571428571427;-35,45784090909089;22,485248917748923
2;365;959;28;2299;2,627397260273973;13,035714285714286;-29,47405821917809;20,497216242661455
3;315;852;30;1992;2,704761904761905;10,5;-33,44535714285715;20,42119047619048
4;326;854;23;2003;2,6196319018404908;14,173913043478262;-29,972380634835957;20,84948252867431
5;362;927;33;2224;2,5607734806629834;10,969696969696969;-21,74067888833079;18,905308890005028
6;349;905;41;2114;2,5931232091690544;8,512195121951219;-21,98310154448245;18,32860996575582
7;413;1016;38;2350;2,460048426150121;10,868421052631579;-13,116544220721266;17,67725563909774
8;396;1008;19;2439;2,5454545454545454;20,842105263157894;-30,46519138755977;22,57478468899522
9;308;789;21;1810;2,561688311688312;14,666666666666666;-25,570497835497832;20,35792207792208
10;310;791;25;1895;2,5516129032258066;12,4;-22,41745161290322;19,355032258064522
11;496;1193;47;2750;2,405241935483871;10,553191489361701;-8,159957103637595;16,907599519560744
12;473;1195;37;2764;2,526427061310782;12,783783783783784;-20,676269927432713;19,207514999142905
13;532;1273;59;2927;2,392857142857143;9,016949152542374;-5,552917675544762;16,162324455205813
14;470;1284;38;2943;2,7319148936170214;12,368421052631579;-37,63894736842107;21,47027995520717
15;460;1242;40;2841;2,7;11,5;-34,057499999999976;20,755000000000006
16;529;1288;35;2893;2,4347826086956523;15,114285714285714;-15,288608695652186;19,03500621118013
17;556;1435;39;3240;2,5809352517985613;14,256410256410257;-26,782378712414697;20,42503597122303
18;394;1034;31;2370;2,6243654822335025;12,709677419354838;-28,886642377599458;20,33428688390372
19;355;964;26;2234;2,715492957746479;13,653846153846153;-37,55435807150596;21,777816901408453
20;433;1169;43;2669;2,699769053117783;10,069767441860465;-32,58627584725281;20,19448412911542
21;413;1084;34;2524;2,624697336561743;12,147058823529411;-28,343659379005828;20,118781512605043
22;486;1158;39;2751;2,382716049382716;12,461538461538462;-8,19123931623929;17,38604938271605
23;449;1078;46;2499;2,400890868596882;9,76086956521739;-6,987650091991867;16,547251379877995
24;359;845;32;1907;2,3537604456824512;11,21875;-4,480164954735358;16,55968575905293
25;427;1033;33;2387;2,4192037470725993;12,93939393939394;-11,763121850826735;18,002967851820312
26;454;1187;31;2808;2,6145374449339207;14,64516129032258;-30,019706551087097;20,97315475344607
27;525;1351;47;3227;2,5733333333333333;11,170212765957446;-23,006765957446788;19,131716312056742
28;504;1264;39;2968;2,507936507936508;12,923076923076923;-19,25335164835164;19,043650793650794
29;457;1172;33;2673;2,5645514223194747;13,848484848484848;-24,982262449439673;20,072615874278892
30;446;1200;43;2747;2,690582959641256;10,372093023255815;-32,11599280425489;20,20399520283659
31;454;1096;36;2558;2,4140969162995596;12,61111111111111;-10,997876896720499;17,814676945668136
32;395;931;40;2228;2,356962025316456;9,875;-3,387112341772138;16,07340189873418
33;368;972;38;2260;2,641304347826087;9,68421052631579;-27,24882151029746;19,354233409610988
